Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
03/07/2021,Columbia,4,3460,384,103012
03/08/2021,Columbia,13,3473,444,103456
03/09/2021,Columbia,6,3479,364,103820
03/10/2021,Columbia,5,3484,691,104511
03/11/2021,Columbia,7,3491,593,105104
03/12/2021,Columbia,11,3502,681,105785
03/13/2021,Columbia,5,3507,343,106128
03/14/2021,Columbia,2,3509,279,106407
03/15/2021,Columbia,13,3522,413,106820
03/16/2021,Columbia,10,3532,470,107290
03/17/2021,Columbia,12,3544,538,107828
03/18/2021,Columbia,20,3564,722,108550
03/19/2021,Columbia,8,3572,575,109125
03/20/2021,Columbia,7,3579,376,109501
03/21/2021,Columbia,7,3586,196,109697
03/22/2021,Columbia,20,3606,347,110044
03/23/2021,Columbia,8,3614,427,110471
03/24/2021,Columbia,9,3623,563,111034
03/25/2021,Columbia,9,3632,634,111668
03/26/2021,Columbia,7,3639,533,112201
03/27/2021,Columbia,17,3656,461,112662
03/28/2021,Columbia,8,3664,200,112862
03/29/2021,Columbia,10,3674,392,113254
03/30/2021,Columbia,16,3690,420,113674
03/31/2021,Columbia,5,3695,768,114442
04/01/2021,Columbia,9,3704,661,115103
04/02/2021,Columbia,10,3714,518,115621
04/03/2021,Columbia,9,3723,516,116137
04/04/2021,Columbia,11,3734,410,116547
04/05/2021,Columbia,3,3737,251,116798
04/06/2021,Columbia,10,3747,360,117158
04/07/2021,Columbia,7,3754,492,117650
04/08/2021,Columbia,8,3762,677,118327
04/09/2021,Columbia,17,3779,458,118785
04/10/2021,Columbia,5,3784,353,119138
04/11/2021,Columbia,9,3793,324,119462
04/12/2021,Columbia,6,3799,236,119698
04/13/2021,Columbia,4,3803,376,120074
04/14/2021,Columbia,6,3809,750,120824
04/15/2021,Columbia,9,3818,501,121325
04/16/2021,Columbia,8,3826,435,121760
04/17/2021,Columbia,6,3832,491,122251
04/18/2021,Columbia,5,3837,354,122605
04/19/2021,Columbia,4,3841,293,122898
04/20/2021,Columbia,7,3848,375,123273
04/21/2021,Columbia,2,3850,653,123926
04/22/2021,Columbia,7,3857,628,124554
04/23/2021,Columbia,5,3862,307,124861
04/24/2021,Columbia,3,3865,367,125228
04/25/2021,Columbia,2,3867,277,125505
04/26/2021,Columbia,8,3875,243,125748
04/27/2021,Columbia,6,3881,314,126062
04/28/2021,Columbia,1,3882,676,126738
04/29/2021,Columbia,7,3889,449,127187
04/30/2021,Columbia,5,3894,565,127752
05/01/2021,Columbia,4,3898,382,128134
05/02/2021,Columbia,6,3904,337,128471
05/03/2021,Columbia,9,3913,187,128658
05/04/2021,Columbia,11,3924,285,128943
05/05/2021,Columbia,9,3933,496,129439
05/06/2021,Columbia,11,3944,473,129912
05/07/2021,Columbia,7,3951,445,130357
05/08/2021,Columbia,17,3968,533,130890
05/09/2021,Columbia,6,3974,222,131112
05/10/2021,Columbia,0,3974,155,131267
05/11/2021,Columbia,9,3983,260,131527
05/12/2021,Columbia,8,3991,644,132171
05/13/2021,Columbia,10,4001,278,132449
05/14/2021,Columbia,7,4008,497,132946
05/15/2021,Columbia,5,4013,417,133363
05/16/2021,Columbia,5,4018,292,133655
05/17/2021,Columbia,2,4020,167,133822
05/18/2021,Columbia,6,4026,209,134031
05/19/2021,Columbia,5,4031,457,134488
05/20/2021,Columbia,1,4032,326,134814
05/21/2021,Columbia,5,4037,363,135177
05/22/2021,Columbia,0,4037,129,135306
05/23/2021,Columbia,0,4037,222,135528
05/24/2021,Columbia,1,4038,74,135602
05/25/2021,Columbia,0,4038,335,135937
05/26/2021,Columbia,3,4041,472,136409
05/27/2021,Columbia,0,4041,242,136651
05/28/2021,Columbia,3,4044,260,136911
05/29/2021,Columbia,0,4044,354,137265
05/30/2021,Columbia,1,4045,216,137481
05/31/2021,Columbia,0,4045,77,137558
06/01/2021,Columbia,1,4046,115,137673
06/02/2021,Columbia,0,4046,221,137894
06/03/2021,Columbia,0,4046,537,138431
06/04/2021,Columbia,11,4057,403,138834
06/05/2021,Columbia,2,4059,198,139032
06/06/2021,Columbia,0,4059,328,139360
06/07/2021,Columbia,0,4059,185,139545
06/08/2021,Columbia,2,4061,209,139754
06/09/2021,Columbia,0,4061,343,140097
06/10/2021,Columbia,0,4061,190,140287
06/11/2021,Columbia,1,4062,225,140512
06/12/2021,Columbia,2,4064,131,140643
06/13/2021,Columbia,0,4064,107,140750
06/14/2021,Columbia,0,4064,161,140911
06/15/2021,Columbia,0,4064,209,141120
06/16/2021,Columbia,1,4065,236,141356
06/17/2021,Columbia,0,4065,238,141594
06/18/2021,Columbia,3,4068,246,141840
06/19/2021,Columbia,0,4068,166,142006
06/20/2021,Columbia,0,4068,96,142102
06/21/2021,Columbia,0,4068,95,142197
06/22/2021,Columbia,0,4068,133,142330
06/23/2021,Columbia,1,4069,184,142514
06/24/2021,Columbia,2,4071,109,142623
06/25/2021,Columbia,1,4072,162,142785
06/26/2021,Columbia,1,4073,190,142975
06/27/2021,Columbia,0,4073,97,143072
06/28/2021,Columbia,0,4073,68,143140
06/29/2021,Columbia,6,4079,166,143306
06/30/2021,Columbia,0,4079,88,143394
07/01/2021,Columbia,0,4079,134,143528
07/02/2021,Columbia,3,4082,137,143665
07/03/2021,Columbia,0,4082,110,143775
07/04/2021,Columbia,1,4083,53,143828
07/05/2021,Columbia,0,4083,53,143881
07/06/2021,Columbia,0,4083,102,143983
07/07/2021,Columbia,0,4083,95,144078
07/08/2021,Columbia,2,4085,116,144194
07/09/2021,Columbia,0,4085,127,144321
07/10/2021,Columbia,0,4085,63,144384
07/11/2021,Columbia,0,4085,93,144477
07/12/2021,Columbia,3,4088,96,144573
07/13/2021,Columbia,1,4089,94,144667
07/14/2021,Columbia,0,4089,86,144753
07/15/2021,Columbia,1,4090,93,144846
07/16/2021,Columbia,1,4091,98,144944
07/17/2021,Columbia,5,4096,150,145094
07/18/2021,Columbia,0,4096,40,145134
07/19/2021,Columbia,4,4100,146,145280
07/20/2021,Columbia,4,4104,130,145410
07/21/2021,Columbia,0,4104,159,145569
07/22/2021,Columbia,4,4108,127,145696
07/23/2021,Columbia,1,4109,109,145805
07/24/2021,Columbia,4,4113,166,145971
07/25/2021,Columbia,2,4115,117,146088
07/26/2021,Columbia,3,4118,155,146243
07/27/2021,Columbia,2,4120,169,146412
07/28/2021,Columbia,5,4125,260,146672
07/29/2021,Columbia,5,4130,157,146829
07/30/2021,Columbia,9,4139,160,146989
07/31/2021,Columbia,5,4144,168,147157
08/01/2021,Columbia,2,4146,108,147265
08/02/2021,Columbia,6,4152,160,147425
08/03/2021,Columbia,4,4156,340,147765
08/04/2021,Columbia,2,4158,225,147990
08/05/2021,Columbia,3,4161,155,148145
08/06/2021,Columbia,6,4167,256,148401
08/07/2021,Columbia,1,4168,142,148543
08/08/2021,Columbia,2,4170,128,148671
08/09/2021,Columbia,4,4174,153,148824
08/10/2021,Columbia,7,4181,226,149050
08/11/2021,Columbia,4,4185,219,149269
08/12/2021,Columbia,6,4191,194,149463
08/13/2021,Columbia,6,4197,193,149656
08/14/2021,Columbia,7,4204,220,149876
08/15/2021,Columbia,7,4211,147,150023
08/16/2021,Columbia,8,4219,152,150175
08/17/2021,Columbia,12,4231,246,150421
08/18/2021,Columbia,4,4235,237,150658
08/19/2021,Columbia,17,4252,374,151032
08/20/2021,Columbia,9,4261,285,151317
08/21/2021,Columbia,8,4269,260,151577
08/22/2021,Columbia,9,4278,182,151759
08/23/2021,Columbia,2,4280,160,151919
08/24/2021,Columbia,18,4298,351,152270
08/25/2021,Columbia,12,4310,490,152760
08/26/2021,Columbia,22,4332,362,153122
08/27/2021,Columbia,8,4340,506,153628
08/28/2021,Columbia,8,4348,272,153900
08/29/2021,Columbia,5,4353,217,154117
08/30/2021,Columbia,6,4359,271,154388
08/31/2021,Columbia,7,4366,220,154608
09/01/2021,Columbia,5,4371,520,155128
09/02/2021,Columbia,9,4380,397,155525
09/03/2021,Columbia,17,4397,630,156155
09/04/2021,Columbia,10,4407,506,156661
09/05/2021,Columbia,10,4417,220,156881
09/06/2021,Columbia,12,4429,142,157023
09/07/2021,Columbia,8,4437,126,157149
09/08/2021,Columbia,8,4445,287,157436
09/09/2021,Columbia,8,4453,405,157841
09/10/2021,Columbia,21,4474,451,158292
09/11/2021,Columbia,15,4489,392,158684
09/12/2021,Columbia,8,4497,199,158883
09/13/2021,Columbia,12,4509,193,159076
09/14/2021,Columbia,16,4525,320,159396
09/15/2021,Columbia,23,4548,485,159881
09/16/2021,Columbia,10,4558,381,160262
09/17/2021,Columbia,22,4580,359,160621
09/18/2021,Columbia,28,4608,418,161039
09/19/2021,Columbia,5,4613,151,161190
09/20/2021,Columbia,19,4632,264,161454
09/21/2021,Columbia,23,4655,334,161788
09/22/2021,Columbia,9,4664,642,162430
09/23/2021,Columbia,35,4699,554,162984
09/24/2021,Columbia,20,4719,335,163319
09/25/2021,Columbia,8,4727,219,163538
09/26/2021,Columbia,10,4737,225,163763
09/27/2021,Columbia,8,4745,548,164311
09/28/2021,Columbia,24,4769,362,164673
09/29/2021,Columbia,11,4780,571,165244
09/30/2021,Columbia,17,4797,480,165724
10/01/2021,Columbia,8,4805,248,165972
10/02/2021,Columbia,17,4822,361,166333
10/03/2021,Columbia,6,4828,378,166711
10/04/2021,Columbia,9,4837,157,166868
10/05/2021,Columbia,10,4847,422,167290
10/06/2021,Columbia,9,4856,566,167856
10/07/2021,Columbia,19,4875,463,168319
10/08/2021,Columbia,5,4880,278,168597
10/09/2021,Columbia,5,4885,252,168849
10/10/2021,Columbia,16,4901,363,169212
10/11/2021,Columbia,8,4909,103,169315
10/12/2021,Columbia,11,4920,462,169777
10/13/2021,Columbia,8,4928,549,170326
10/14/2021,Columbia,21,4949,344,170670
10/15/2021,Columbia,8,4957,356,171026
10/16/2021,Columbia,9,4966,320,171346
10/17/2021,Columbia,11,4977,225,171571
10/18/2021,Columbia,7,4984,113,171684
10/19/2021,Columbia,14,4998,320,172004
10/20/2021,Columbia,11,5009,594,172598
10/21/2021,Columbia,16,5025,278,172876
10/22/2021,Columbia,12,5037,412,173288
10/23/2021,Columbia,6,5043,291,173579
10/24/2021,Columbia,10,5053,260,173839
10/25/2021,Columbia,7,5060,153,173992
10/26/2021,Columbia,10,5070,377,174369
10/27/2021,Columbia,11,5081,517,174886
10/28/2021,Columbia,24,5105,539,175425
10/29/2021,Columbia,13,5118,290,175715
10/30/2021,Columbia,7,5125,325,176040
10/31/2021,Columbia,4,5129,154,176194
11/01/2021,Columbia,5,5134,102,176296
11/02/2021,Columbia,11,5145,282,176578
11/03/2021,Columbia,12,5157,387,176965
11/04/2021,Columbia,13,5170,327,177292
11/05/2021,Columbia,14,5184,292,177584
11/06/2021,Columbia,6,5190,332,177916
11/07/2021,Columbia,12,5202,187,178103
11/08/2021,Columbia,19,5221,164,178267
11/09/2021,Columbia,16,5237,269,178536
11/10/2021,Columbia,11,5248,452,178988
11/11/2021,Columbia,15,5263,389,179377
11/12/2021,Columbia,11,5274,301,179678
11/13/2021,Columbia,15,5289,280,179958
11/14/2021,Columbia,38,5327,242,180200
11/15/2021,Columbia,13,5340,158,180358
11/16/2021,Columbia,16,5356,267,180625
11/17/2021,Columbia,52,5408,541,181166
11/18/2021,Columbia,28,5436,447,181613
11/19/2021,Columbia,39,5475,346,181959
11/20/2021,Columbia,27,5502,344,182303
11/21/2021,Columbia,29,5531,261,182564
11/22/2021,Columbia,17,5548,201,182765
11/23/2021,Columbia,20,5568,273,183038
11/24/2021,Columbia,32,5600,555,183593
11/25/2021,Columbia,17,5617,308,183901
11/26/2021,Columbia,22,5639,164,184065
11/27/2021,Columbia,25,5664,235,184300
11/28/2021,Columbia,17,5681,176,184476
11/29/2021,Columbia,12,5693,227,184703
11/30/2021,Columbia,60,5753,401,185104
12/01/2021,Columbia,29,5782,559,185663
12/02/2021,Columbia,60,5842,545,186208
12/03/2021,Columbia,38,5880,412,186620
12/04/2021,Columbia,35,5915,484,187104
12/05/2021,Columbia,25,5940,327,187431
12/06/2021,Columbia,30,5970,221,187652
12/07/2021,Columbia,53,6023,527,188179
12/08/2021,Columbia,51,6074,495,188674
12/09/2021,Columbia,33,6107,532,189206
12/10/2021,Columbia,46,6153,536,189742
12/11/2021,Columbia,39,6192,476,190218
12/12/2021,Columbia,11,6203,187,190405
12/13/2021,Columbia,36,6239,205,190610
12/14/2021,Columbia,37,6276,387,190997
12/15/2021,Columbia,25,6301,444,191441
12/16/2021,Columbia,55,6356,458,191899
12/17/2021,Columbia,24,6380,445,192344
12/18/2021,Columbia,38,6418,431,192775
12/19/2021,Columbia,23,6441,274,193049
12/20/2021,Columbia,21,6462,223,193272
12/21/2021,Columbia,68,6530,448,193720
12/22/2021,Columbia,33,6563,419,194139
12/23/2021,Columbia,43,6606,520,194659
12/24/2021,Columbia,49,6655,476,195135
12/25/2021,Columbia,22,6677,273,195408
12/26/2021,Columbia,14,6691,173,195581
12/27/2021,Columbia,61,6752,234,195815
12/28/2021,Columbia,88,6840,531,196346
12/29/2021,Columbia,58,6898,354,196700
12/30/2021,Columbia,56,6954,391,197091
12/31/2021,Columbia,107,7061,512,197603
01/01/2022,Columbia,53,7114,377,197980
01/02/2022,Columbia,38,7152,254,198234
01/03/2022,Columbia,21,7173,161,198395
01/04/2022,Columbia,143,7316,568,198963
01/05/2022,Columbia,107,7423,567,199530
01/06/2022,Columbia,115,7538,658,200188
01/07/2022,Columbia,175,7713,726,200914
01/08/2022,Columbia,143,7856,624,201538
01/09/2022,Columbia,71,7927,383,201921
01/10/2022,Columbia,26,7953,205,202126
01/11/2022,Columbia,203,8156,596,202722
01/12/2022,Columbia,125,8281,702,203424
01/13/2022,Columbia,111,8392,581,204005
01/14/2022,Columbia,72,8464,484,204489
01/15/2022,Columbia,174,8638,869,205358
01/16/2022,Columbia,43,8681,337,205695
01/17/2022,Columbia,53,8734,222,205917
01/18/2022,Columbia,38,8772,324,206241
01/19/2022,Columbia,122,8894,645,206886
01/20/2022,Columbia,77,8971,535,207421
01/21/2022,Columbia,57,9028,583,208004
01/22/2022,Columbia,51,9079,458,208462
01/23/2022,Columbia,18,9097,272,208734
01/24/2022,Columbia,40,9137,242,208976
01/25/2022,Columbia,62,9199,512,209488
01/26/2022,Columbia,104,9303,504,209992
01/27/2022,Columbia,49,9352,385,210377
01/28/2022,Columbia,36,9388,405,210782
01/29/2022,Columbia,27,9415,471,211253
01/30/2022,Columbia,16,9431,286,211539
01/31/2022,Columbia,29,9460,184,211723
02/01/2022,Columbia,26,9486,375,212098
02/02/2022,Columbia,36,9522,340,212438
02/03/2022,Columbia,38,9560,412,212850
02/04/2022,Columbia,14,9574,255,213105
02/05/2022,Columbia,8,9582,146,213251
03/01/2020,Cortland,0,0,0,0
03/02/2020,Cortland,0,0,0,0
03/03/2020,Cortland,0,0,0,0
03/04/2020,Cortland,0,0,0,0
03/05/2020,Cortland,0,0,0,0
03/06/2020,Cortland,0,0,0,0
03/07/2020,Cortland,0,0,1,1
03/08/2020,Cortland,0,0,0,1
03/09/2020,Cortland,0,0,0,1
03/10/2020,Cortland,0,0,0,1
03/11/2020,Cortland,0,0,0,1
03/12/2020,Cortland,0,0,0,1
03/13/2020,Cortland,0,0,0,1
03/14/2020,Cortland,0,0,1,2
03/15/2020,Cortland,0,0,0,2
03/16/2020,Cortland,0,0,2,4
03/17/2020,Cortland,0,0,1,5
03/18/2020,Cortland,0,0,1,6
03/19/2020,Cortland,0,0,7,13
03/20/2020,Cortland,0,0,15,28
03/21/2020,Cortland,1,1,17,45
03/22/2020,Cortland,1,2,55,100
03/23/2020,Cortland,0,2,30,130
03/24/2020,Cortland,0,2,3,133
03/25/2020,Cortland,0,2,41,174
03/26/2020,Cortland,2,4,34,208
03/27/2020,Cortland,1,5,45,253
03/28/2020,Cortland,1,6,28,281
03/29/2020,Cortland,2,8,48,329
03/30/2020,Cortland,0,8,9,338
03/31/2020,Cortland,0,8,12,350
04/01/2020,Cortland,0,8,42,392
04/02/2020,Cortland,2,10,54,446
04/03/2020,Cortland,0,10,32,478
04/04/2020,Cortland,0,10,38,516
04/05/2020,Cortland,3,13,42,558
04/06/2020,Cortland,3,16,25,583
04/07/2020,Cortland,0,16,18,601
04/08/2020,Cortland,0,16,41,642
04/09/2020,Cortland,1,17,25,667
04/10/2020,Cortland,0,17,20,687
04/11/2020,Cortland,1,18,18,705
04/12/2020,Cortland,2,20,18,723
04/13/2020,Cortland,2,22,38,761
04/14/2020,Cortland,1,23,6,767
04/15/2020,Cortland,1,24,17,784
04/16/2020,Cortland,1,25,13,797
04/17/2020,Cortland,0,25,19,816
04/18/2020,Cortland,0,25,11,827
04/19/2020,Cortland,0,25,12,839
04/20/2020,Cortland,0,25,2,841
04/21/2020,Cortland,0,25,5,846
04/22/2020,Cortland,0,25,30,876
04/23/2020,Cortland,0,25,30,906
04/24/2020,Cortland,3,28,109,1015
04/25/2020,Cortland,0,28,26,1041
04/26/2020,Cortland,0,28,16,1057
04/27/2020,Cortland,0,28,7,1064
04/28/2020,Cortland,0,28,22,1086
04/29/2020,Cortland,0,28,26,1112
04/30/2020,Cortland,0,28,31,1143
05/01/2020,Cortland,0,28,30,1173
05/02/2020,Cortland,0,28,16,1189
05/03/2020,Cortland,0,28,42,1231
05/04/2020,Cortland,0,28,12,1243
05/05/2020,Cortland,0,28,33,1276
05/06/2020,Cortland,1,29,27,1303
05/07/2020,Cortland,0,29,38,1341
05/08/2020,Cortland,0,29,96,1437
05/09/2020,Cortland,0,29,29,1466
05/10/2020,Cortland,0,29,27,1493
05/11/2020,Cortland,1,30,33,1526
05/12/2020,Cortland,1,31,40,1566
05/13/2020,Cortland,2,33,50,1616
05/14/2020,Cortland,0,33,95,1711
05/15/2020,Cortland,1,34,221,1932
05/16/2020,Cortland,0,34,140,2072
05/17/2020,Cortland,1,35,99,2171
05/18/2020,Cortland,1,36,62,2233
05/19/2020,Cortland,0,36,77,2310
05/20/2020,Cortland,0,36,144,2454
05/21/2020,Cortland,1,37,86,2540
05/22/2020,Cortland,1,38,223,2763
05/23/2020,Cortland,1,39,147,2910
05/24/2020,Cortland,0,39,221,3131
05/25/2020,Cortland,0,39,64,3195
05/26/2020,Cortland,0,39,82,3277
05/27/2020,Cortland,0,39,34,3311
05/28/2020,Cortland,0,39,207,3518
05/29/2020,Cortland,2,41,188,3706
05/30/2020,Cortland,0,41,261,3967
05/31/2020,Cortland,0,41,84,4051
06/01/2020,Cortland,0,41,128,4179
06/02/2020,Cortland,0,41,92,4271
06/03/2020,Cortland,0,41,130,4401
06/04/2020,Cortland,0,41,343,4744
06/05/2020,Cortland,0,41,294,5038
06/06/2020,Cortland,0,41,201,5239
06/07/2020,Cortland,1,42,179,5418
06/08/2020,Cortland,0,42,162,5580
06/09/2020,Cortland,0,42,153,5733
06/10/2020,Cortland,0,42,110,5843
06/11/2020,Cortland,0,42,258,6101
06/12/2020,Cortland,0,42,216,6317
06/13/2020,Cortland,0,42,174,6491
06/14/2020,Cortland,0,42,87,6578
06/15/2020,Cortland,0,42,155,6733
06/16/2020,Cortland,0,42,124,6857
06/17/2020,Cortland,2,44,107,6964
06/18/2020,Cortland,0,44,216,7180
06/19/2020,Cortland,0,44,251,7431
06/20/2020,Cortland,0,44,130,7561
06/21/2020,Cortland,0,44,84,7645
06/22/2020,Cortland,0,44,181,7826
06/23/2020,Cortland,0,44,90,7916
06/24/2020,Cortland,0,44,153,8069
06/25/2020,Cortland,0,44,106,8175
06/26/2020,Cortland,0,44,234,8409
06/27/2020,Cortland,2,46,234,8643
06/28/2020,Cortland,1,47,95,8738
06/29/2020,Cortland,0,47,144,8882
06/30/2020,Cortland,0,47,111,8993
07/01/2020,Cortland,0,47,138,9131
07/02/2020,Cortland,1,48,41,9172
07/03/2020,Cortland,2,50,135,9307
07/04/2020,Cortland,1,51,217,9524
07/05/2020,Cortland,1,52,55,9579
07/06/2020,Cortland,1,53,164,9743
07/07/2020,Cortland,1,54,137,9880
07/08/2020,Cortland,1,55,147,10027
07/09/2020,Cortland,1,56,92,10119
07/10/2020,Cortland,2,58,138,10257
07/11/2020,Cortland,0,58,278,10535
07/12/2020,Cortland,1,59,103,10638
07/13/2020,Cortland,0,59,143,10781
07/14/2020,Cortland,2,61,160,10941
07/15/2020,Cortland,2,63,85,11026
07/16/2020,Cortland,4,67,216,11242
07/17/2020,Cortland,1,68,285,11527
07/18/2020,Cortland,1,69,133,11660
07/19/2020,Cortland,0,69,83,11743
07/20/2020,Cortland,4,73,182,11925
07/21/2020,Cortland,4,77,398,12323
07/22/2020,Cortland,3,80,259,12582
07/23/2020,Cortland,2,82,98,12680
07/24/2020,Cortland,2,84,362,13042
07/25/2020,Cortland,1,85,212,13254
07/26/2020,Cortland,2,87,470,13724
07/27/2020,Cortland,2,89,267,13991
07/28/2020,Cortland,1,90,148,14139
07/29/2020,Cortland,0,90,166,14305
07/30/2020,Cortland,1,91,247,14552
07/31/2020,Cortland,0,91,168,14720
08/01/2020,Cortland,1,92,233,14953
08/02/2020,Cortland,0,92,103,15056
08/03/2020,Cortland,1,93,311,15367
08/04/2020,Cortland,1,94,88,15455
08/05/2020,Cortland,0,94,192,15647
08/06/2020,Cortland,1,95,148,15795
08/07/2020,Cortland,0,95,255,16050
08/08/2020,Cortland,0,95,149,16199
08/09/2020,Cortland,0,95,247,16446
08/10/2020,Cortland,0,95,327,16773
08/11/2020,Cortland,1,96,109,16882
08/12/2020,Cortland,1,97,187,17069
08/13/2020,Cortland,0,97,113,17182
08/14/2020,Cortland,0,97,211,17393
08/15/2020,Cortland,0,97,150,17543
08/16/2020,Cortland,0,97,112,17655
08/17/2020,Cortland,0,97,372,18027
08/18/2020,Cortland,0,97,143,18170
08/19/2020,Cortland,1,98,176,18346
08/20/2020,Cortland,0,98,168,18514
08/21/2020,Cortland,0,98,223,18737
08/22/2020,Cortland,0,98,106,18843
08/23/2020,Cortland,0,98,239,19082
08/24/2020,Cortland,0,98,103,19185
08/25/2020,Cortland,0,98,173,19358
08/26/2020,Cortland,0,98,82,19440
08/27/2020,Cortland,0,98,200,19640
08/28/2020,Cortland,0,98,196,19836
08/29/2020,Cortland,1,99,156,19992
08/30/2020,Cortland,1,100,93,20085
08/31/2020,Cortland,1,101,145,20230
09/01/2020,Cortland,1,102,92,20322
09/02/2020,Cortland,0,102,112,20434
09/03/2020,Cortland,0,102,231,20665
09/04/2020,Cortland,0,102,171,20836
09/05/2020,Cortland,1,103,223,21059
09/06/2020,Cortland,0,103,77,21136
09/07/2020,Cortland,0,103,224,21360
09/08/2020,Cortland,0,103,101,21461
09/09/2020,Cortland,1,104,98,21559
09/10/2020,Cortland,5,109,187,21746
09/11/2020,Cortland,10,119,378,22124
09/12/2020,Cortland,9,128,221,22345
09/13/2020,Cortland,4,132,193,22538
09/14/2020,Cortland,5,137,241,22779
09/15/2020,Cortland,0,137,279,23058
09/16/2020,Cortland,4,141,287,23345
09/17/2020,Cortland,9,150,279,23624
09/18/2020,Cortland,5,155,356,23980
09/19/2020,Cortland,4,159,305,24285
09/20/2020,Cortland,2,161,193,24478
09/21/2020,Cortland,1,162,167,24645
09/22/2020,Cortland,2,164,255,24900
09/23/2020,Cortland,3,167,172,25072
09/24/2020,Cortland,2,169,328,25400
09/25/2020,Cortland,2,171,376,25776
09/26/2020,Cortland,0,171,253,26029
09/27/2020,Cortland,0,171,176,26205
09/28/2020,Cortland,10,181,215,26420
09/29/2020,Cortland,3,184,858,27278
09/30/2020,Cortland,11,195,759,28037
10/01/2020,Cortland,3,198,350,28387
10/02/2020,Cortland,7,205,525,28912
10/03/2020,Cortland,18,223,411,29323
10/04/2020,Cortland,0,223,150,29473
10/05/2020,Cortland,14,237,166,29639
10/06/2020,Cortland,3,240,583,30222
10/07/2020,Cortland,20,260,347,30569
10/08/2020,Cortland,17,277,790,31359
10/09/2020,Cortland,16,293,546,31905
10/10/2020,Cortland,8,301,474,32379
10/11/2020,Cortland,16,317,498,32877
10/12/2020,Cortland,16,333,267,33144
10/13/2020,Cortland,13,346,1040,34184
10/14/2020,Cortland,25,371,1189,35373
10/15/2020,Cortland,16,387,1203,36576
10/16/2020,Cortland,12,399,1022,37598
10/17/2020,Cortland,7,406,635,38233
10/18/2020,Cortland,10,416,246,38479
10/19/2020,Cortland,20,436,282,38761
10/20/2020,Cortland,15,451,799,39560
10/21/2020,Cortland,24,475,1031,40591
10/22/2020,Cortland,13,488,454,41045
10/23/2020,Cortland,8,496,1258,42303
10/24/2020,Cortland,14,510,678,42981
10/25/2020,Cortland,14,524,1106,44087
10/26/2020,Cortland,18,542,742,44829
10/27/2020,Cortland,5,547,400,45229
10/28/2020,Cortland,6,553,1116,46345
10/29/2020,Cortland,14,567,426,46771
10/30/2020,Cortland,17,584,565,47336
10/31/2020,Cortland,5,589,408,47744
11/01/2020,Cortland,3,592,219,47963
11/02/2020,Cortland,6,598,315,48278
11/03/2020,Cortland,6,604,437,48715
11/04/2020,Cortland,9,613,476,49191
11/05/2020,Cortland,9,622,366,49557
11/06/2020,Cortland,11,633,410,49967
11/07/2020,Cortland,14,647,983,50950
11/08/2020,Cortland,9,656,450,51400
11/09/2020,Cortland,9,665,280,51680
11/10/2020,Cortland,12,677,774,52454
11/11/2020,Cortland,15,692,430,52884
11/12/2020,Cortland,20,712,504,53388
11/13/2020,Cortland,11,723,392,53780
11/14/2020,Cortland,27,750,419,54199
11/15/2020,Cortland,21,771,345,54544
11/16/2020,Cortland,8,779,330,54874
11/17/2020,Cortland,22,801,527,55401
11/18/2020,Cortland,26,827,447,55848
11/19/2020,Cortland,12,839,460,56308
11/20/2020,Cortland,31,870,792,57100
11/21/2020,Cortland,14,884,590,57690
11/22/2020,Cortland,23,907,386,58076
11/23/2020,Cortland,6,913,269,58345
11/24/2020,Cortland,38,951,550,58895
11/25/2020,Cortland,6,957,377,59272
11/26/2020,Cortland,22,979,285,59557
11/27/2020,Cortland,46,1025,279,59836
11/28/2020,Cortland,19,1044,338,60174
11/29/2020,Cortland,17,1061,426,60600
11/30/2020,Cortland,21,1082,366,60966
12/01/2020,Cortland,9,1091,466,61432
12/02/2020,Cortland,25,1116,482,61914
12/03/2020,Cortland,24,1140,541,62455
12/04/2020,Cortland,36,1176,607,63062
12/05/2020,Cortland,27,1203,402,63464
12/06/2020,Cortland,16,1219,229,63693
12/07/2020,Cortland,39,1258,325,64018
12/08/2020,Cortland,33,1291,455,64473
12/09/2020,Cortland,44,1335,607,65080
12/10/2020,Cortland,40,1375,689,65769
12/11/2020,Cortland,59,1434,802,66571
12/12/2020,Cortland,44,1478,574,67145
12/13/2020,Cortland,35,1513,310,67455
12/14/2020,Cortland,26,1539,323,67778
12/15/2020,Cortland,22,1561,379,68157
12/16/2020,Cortland,52,1613,469,68626
12/17/2020,Cortland,42,1655,747,69373
12/18/2020,Cortland,33,1688,568,69941
12/19/2020,Cortland,25,1713,424,70365
12/20/2020,Cortland,32,1745,357,70722
12/21/2020,Cortland,23,1768,225,70947
12/22/2020,Cortland,30,1798,613,71560
12/23/2020,Cortland,33,1831,335,71895
12/24/2020,Cortland,53,1884,579,72474
12/25/2020,Cortland,41,1925,466,72940
12/26/2020,Cortland,16,1941,187,73127
12/27/2020,Cortland,24,1965,215,73342
12/28/2020,Cortland,21,1986,167,73509
12/29/2020,Cortland,31,2017,317,73826
12/30/2020,Cortland,53,2070,464,74290
12/31/2020,Cortland,37,2107,371,74661
01/01/2021,Cortland,54,2161,587,75248
01/02/2021,Cortland,22,2183,340,75588
01/03/2021,Cortland,17,2200,240,75828
01/04/2021,Cortland,17,2217,191,76019
01/05/2021,Cortland,24,2241,397,76416
01/06/2021,Cortland,48,2289,603,77019
